LM,ADR,ANN,FRIIS,MLR,RF,SPLMSF,SPLMSFT,SVR
0,4.816838696620027,58.65209471766847,79.61951022060313,48.45173041894351,46.60999797611816,49.939283545840894,50.50597045132562,47.17668488160288
1,14.663023679417046,80.89455575794375,86.13640963367742,64.60230722525803,71.40255009107469,59.50212507589555,62.26472374013356,69.91499696417729
2,32.30115361262897,91.51993523578226,91.9449504148958,78.91115158874723,88.82817243472984,69.34831005869258,73.3859542602712,86.84476826553332
3,51.285164946367104,97.47014774337184,,89.0406800242866,95.62841530054648,77.63610605140661,82.80712406395467,94.42420562639144
4,66.44403966808338,100.23274640760984,,94.84922080550498,99.0993725966404,84.50718478040885,89.25318761384338,97.75349119611418
5,76.64440396680834,100.72859744990896,,97.39931188018625,100.374418133981,89.7490386561425,94.1408621736491,100.30358227079545
6,83.09046751669705,101.01194090265132,,98.3201781015989,100.65776158672338,93.21999595223642,96.33677393240238,100.16191054442425
7,88.82817243472984,101.2244484922081,,99.31188018619716,100.5869257235378,95.55757943736089,98.03683464885654,100.65776158672338
8,94.49504148957703,101.01194090265132,,,100.79943331309455,96.90346083788712,98.95770087026922,100.5869257235378
9,97.32847601700064,101.29528435539368,102.0036429872496,,100.79943331309455,98.39101396478448,99.45355191256834,100.79943331309455
10,98.53268569115568,101.2244484922081,101.8619712608784,,100.79943331309455,97.96599878567096,98.17850637522773,100.5160898603522
11,99.0285367334548,101.01194090265132,101.8619712608784,,100.87026917628016,98.60352155434128,98.17850637522773,100.30358227079545
12,98.67435741752683,100.02023881805306,102.0036429872496,,100.72859744990896,99.94940295486748,98.17850637522773,100.16191054442425
13,99.45355191256834,100.02023881805306,102.0036429872496,,100.02023881805306,101.7911353976928,98.95770087026922,100.02023881805306
14,98.74519328071244,100.02023881805306,102.07447885043516,101.57862780813603,100.02023881805306,101.7911353976928,98.95770087026922,100.09107468123864
15,100.09107468123864,99.0285367334548,102.14531471362076,,100.02023881805306,101.7911353976928,98.10767051204212,100.02023881805306
